"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"2225",0.109,0.996,0.61,0.093,0.872,0.432,0.004,0.082,0.311,0.295,0.475,0.098,0.005,0.104,0.159,0.082,0.001,0.019,0.056,0,0.007,0.088,0.023,0,0.087,0.011,0.003,0.001,0,0.004,0.001,0.007,0.002,0.002,0.003,0,0,0,0,0,0.002
"2226",0.299,0.647,0.936,0.283,0.113,0.998,0.156,0.17,0.242,0.001,0.696,0.122,0.031,0.029,0.059,0.02,0,0.077,0,0,0.01,0,0.003,0,0.02,0,0.038,0.155,0.004,0.001,0,0.001,0,0,0,0,0.046,0,0,0.128,0
"2227",0.452,0.008,0.957,0.583,0.91,0.995,0.588,0.44,0.496,0.511,0.845,0.002,0.031,0.012,0.04,0.223,0.02,0.055,0.165,0.067,0,0.094,0,0.026,0.003,0.005,0,0.001,0,0.016,0.018,0.001,0.002,0.017,0.001,0,0.003,0.002,0,0,0
"2228",0.865,0.518,0.403,0.215,0.762,0.519,0.455,0.816,0.104,0.063,0.415,0.757,0.797,0,0.065,0.142,0.001,0.019,0.295,0.024,0.001,0,0.215,0.001,0.015,0.019,0.008,0,0,0.008,0.004,0.001,0.002,0.002,0.044,0.037,0,0,0.001,0,0
"2229",0.955,0.749,0.675,0.558,0.649,0.772,0.311,0.002,0.142,0.034,0.01,0.451,0.029,0.284,0.066,0.05,0.079,0.054,0,0,0.101,0.001,0.003,0.003,0.008,0.01,0.022,0,0,0,0.006,0,0.003,0.02,0.003,0.01,0,0.002,0,0,0
"2230",0.357,0.271,0.173,0.753,0.29,0.881,0.86,0.046,0.066,0.021,0.355,0.165,0.012,0,0.002,0.185,0.01,0,0.134,0.001,0.012,0.04,0.096,0.017,0.009,0,0.004,0.065,0.087,0.043,0.002,0,0.001,0,0,0,0.004,0.098,0,0,0.001
"2231",0.92,0.182,0.713,0.175,0.548,0.602,0.287,0.997,0.1,0.07,0.314,0.341,0.455,0.453,0.011,0.052,0.003,0,0.241,0.005,0.171,0.055,0,0,0.03,0,0,0,0.019,0,0,0.005,0.001,0,0.028,0,0,0.026,0,0.061,0
"2232",0.61,0.53,0.64,0.666,0.353,0.412,0.706,0.774,0.242,0.546,0,0,0.034,0.065,0.006,0.093,0.013,0.023,0.539,0,0.001,0,0.003,0,0.004,0.033,0,0.044,0.005,0.002,0,0,0.008,0.045,0.029,0,0.006,0.002,0.01,0.002,0.016
"2233",0.302,0.512,0.209,0.739,0.275,0.538,0.068,0.076,0.176,0.489,0.073,0.049,0.032,0.001,0.17,0.004,0.026,0.001,0,0.006,0.031,0.001,0,0.001,0.001,0.023,0.022,0,0,0.008,0,0.012,0.04,0.001,0.003,0.06,0.001,0,0,0.001,0.015
"2234",0.629,0.047,0.74,0.419,0.517,0.035,0.029,0.911,0.003,0.063,0.018,0,0.034,0.153,0.022,0.047,0,0.028,0.25,0.011,0.002,0,0.035,0.016,0.005,0.005,0,0.001,0,0,0,0,0,0,0,0,0.047,0,0,0.005,0
"2235",0.684,0.571,0.74,0.304,0,0.196,0.67,0.61,0.073,0.222,0.786,0.059,0.666,0.009,0.957,0.34,0.021,0,0.132,0.019,0.016,0.002,0,0.001,0,0,0.018,0.015,0,0.017,0.031,0.001,0,0,0,0,0.033,0,0.002,0.002,0
"2236",0.754,0.489,0.981,0.555,0.12,0.999,0.593,0.006,0.819,0.001,0.828,0.938,0.063,0.205,0.446,0.011,0.004,0.138,0.059,0,0.03,0.001,0.001,0,0.003,0.002,0.001,0,0.007,0.025,0.103,0,0,0,0,0.001,0.008,0.006,0.002,0.057,0
"2237",0.815,0.534,0.29,0.577,0.93,0.253,0.858,0.68,0.839,0.855,0.34,0.042,0,0.087,0.023,0.279,0.911,0,0,0.013,0.05,0,0.004,0.127,0.011,0,0.026,0,0.002,0.002,0,0.008,0,0.014,0,0.002,0,0.006,0,0,0
"2238",0.336,0.065,0.002,0.453,0.048,0.918,0.306,0.662,0.455,0.965,0.556,0.009,0.485,0.015,0,0.035,0.033,0.008,0.063,0,0.303,0.002,0.002,0.235,0.069,0.001,0.006,0.018,0,0.008,0.003,0,0.015,0.01,0,0,0.005,0.012,0.018,0,0
"2239",0.094,0.111,0.091,0.93,0.687,0.014,0.805,0.008,0.004,0.45,0.747,0.233,0.051,0.329,0.016,0.097,0.096,0,0.006,0.011,0.195,0.384,0.003,0.006,0,0.054,0.01,0.003,0.005,0.014,0,0,0,0.092,0.001,0.037,0,0,0.006,0.038,0
"2240",0.479,0.901,0.2,0.212,0.297,0.029,0.425,0.865,0.545,0.314,0.064,0.259,0.002,0.03,0.003,0.037,0.052,0,0,0,0.053,0,0.004,0.016,0,0.016,0,0.125,0,0.001,0.095,0,0.004,0.001,0.002,0,0,0,0,0,0.031
"2241",0.792,0.747,0.018,0.735,0.338,0.077,0.185,0.345,0.071,0.799,0.053,0.085,0.329,0.346,0.019,0,0,0.041,0,0.219,0.004,0.013,0.014,0.191,0.021,0,0.001,0.002,0,0.002,0.032,0.001,0.001,0.006,0.012,0.001,0,0.002,0,0,0.001
"2242",0.548,0.664,0.027,0.743,0.787,0.192,0.161,0.28,0.572,0.261,0.172,0.038,0.107,0.38,0.003,0.006,0,0,0,0,0.004,0,0,0,0,0,0.001,0,0.001,0.019,0.001,0.012,0,0,0,0.003,0.009,0,0,0,0.001
"2243",0.242,0.667,0.79,0.847,0.713,0.745,0.459,0.257,0.987,0.362,0.09,0.017,0.522,0.006,0.008,0.012,0.125,0,0.002,0.153,0.106,0,0,0.003,0.013,0.007,0.002,0.009,0,0,0.031,0.004,0.007,0.003,0.002,0.001,0.005,0.054,0.004,0.002,0
"2244",0.287,0.105,0.437,0.01,0.761,0.024,0.2,0.832,0.017,0.288,0.005,0.914,0.888,0.12,0.001,0.349,0.079,0.005,0.085,0.001,0.01,0,0,0,0,0,0,0.069,0,0.001,0,0.01,0,0,0.001,0,0.028,0.001,0,0,0
"2245",0.006,0.151,0.602,0.687,0.827,0.651,0.846,0.852,0.275,0.119,0.713,0.696,0.003,0.266,0.018,0.079,0.345,0.114,0.116,0.128,0.002,0.043,0,0.008,0,0,0,0.017,0,0.002,0,0.001,0.001,0.001,0.04,0,0.006,0.001,0,0,0.001
"2246",0.065,0.354,0.675,0.424,0.273,0.214,0.634,0.637,0.053,0.142,0.772,0.712,0.408,0,0.028,0.002,0,0,0,0.087,0.002,0,0.008,0,0,0,0,0.034,0,0.056,0.06,0,0,0,0,0,0,0.001,0.001,0.068,0
"2247",0.438,0.557,0.812,0.129,0.961,0.994,0.797,0.004,0.002,0.23,0.289,0.017,0.055,0.018,0.001,0.706,0.054,0,0.237,0,0.044,0.001,0,0,0.009,0.001,0,0,0.002,0.005,0,0.001,0,0,0.004,0,0,0.011,0,0.003,0
"2248",0.055,0.127,0.719,0.015,0.56,0.836,0.784,0,0.412,0.236,0.389,0,0.007,0.069,0.113,0.052,0.089,0.02,0.02,0.004,0,0.014,0.017,0,0.033,0,0.043,0,0.007,0.014,0.087,0.013,0.009,0.065,0.003,0,0.029,0.013,0.007,0,0
"2249",0.336,0.505,0.13,0.972,0.066,0.94,0.094,0.718,0.736,0.042,0.135,0,0.378,0.077,0.275,0.695,0.006,0.004,0.014,0.003,0.003,0,0,0.025,0,0,0.001,0.027,0,0,0,0.002,0,0,0.031,0,0.007,0.001,0.001,0.02,0
"2250",0.851,0,0.992,0.583,0.307,0.917,0.003,0.071,0.009,0.46,0.012,0.262,0.001,0.037,0.105,0.118,0.078,0.006,0.002,0.11,0.031,0.003,0.011,0.008,0.025,0,0.003,0.002,0,0.009,0.002,0,0,0.001,0.002,0,0,0.029,0.001,0.11,0.001
"2251",0.505,0.95,0.834,0.99,0.65,0.044,0.42,0.018,0.041,0.869,0.132,0.312,0.001,0.28,0.025,0.029,0,0.774,0.002,0,0.015,0,0.016,0.045,0.107,0.009,0,0,0,0,0.003,0.014,0.016,0,0,0,0,0.005,0,0.005,0
"2252",0.644,0.707,0.311,0.105,0.236,0.32,0.615,0.613,0.068,0.044,0.575,0.674,0.027,0.019,0.027,0.637,0.026,0.03,0.096,0.094,0.05,0.001,0.001,0.131,0,0.002,0.034,0,0,0.003,0.006,0,0,0,0,0,0,0,0.003,0.002,0.002
